DATE,SP500,GOLD,LIBOR
2019-01-02,2510.03,1287.200,2.79388
2019-01-03,2447.89,1287.950,2.79500
2019-01-04,2531.94,1290.350,2.80388
2019-01-07,2549.69,1291.500,2.79681
2019-01-08,2574.41,1283.900,2.78250
2019-01-09,2584.96,1281.300,2.79888
2019-01-10,2596.64,1292.400,2.79694
2019-01-11,2596.26,1292.800,2.78731
2019-01-14,2582.61,1293.700,2.77894
2019-01-15,2610.30,1289.350,2.77344
2019-01-16,2616.10,1290.500,2.78031
2019-01-17,2635.96,1294.000,2.77575
2019-01-18,2670.71,1285.050,2.76100
2019-01-22,2632.90,1284.750,2.77925
2019-01-23,2638.70,1284.900,2.77063
2019-01-24,2642.33,1279.750,2.76475
2019-01-25,2664.76,1282.950,2.75163
2019-01-28,2643.85,1301.000,2.75050
2019-01-29,2640.00,1308.350,2.74438
2019-01-30,2681.05,1312.950,2.73625
2019-01-31,2704.10,1322.500,2.73750
2019-02-01,2706.53,1320.750,2.73263
2019-02-04,2724.87,1311.000,2.73438
2019-02-05,2737.70,1314.000,2.73850
2019-02-06,2731.61,1313.350,2.73763
2019-02-07,2706.05,1306.600,2.69700
2019-02-08,2707.88,1311.100,2.69775
2019-02-11,2709.80,1306.750,2.68800
2019-02-12,2744.73,1311.600,2.69288
2019-02-13,2753.03,1311.150,2.68375
2019-02-14,2745.73,1305.650,2.69388
2019-02-15,2775.60,1318.000,2.68288
2019-02-19,2779.76,1329.550,2.64125
2019-02-20,2784.70,1345.750,2.66338
2019-02-21,2774.88,1335.050,2.65100
2019-02-22,2792.67,1322.250,2.64625
2019-02-25,2796.11,1329.150,2.63863
2019-02-26,2793.90,1327.550,2.62888
2019-02-27,2792.38,1326.450,2.62613
2019-02-28,2784.49,1325.450,2.61513
2019-03-01,2803.69,1309.950,2.59850
2019-03-04,2792.81,1287.450,2.60763
2019-03-05,2789.65,1285.000,2.60663
2019-03-06,2771.45,1285.550,2.59450
2019-03-07,2748.93,1286.400,2.60063
2019-03-08,2743.07,1294.100,2.59663
2019-03-11,2783.30,1296.350,2.60825
2019-03-12,2791.52,1296.950,2.59325
2019-03-13,2810.92,1308.400,2.61088
2019-03-14,2808.48,1299.200,2.61463
2019-03-15,2822.48,1302.650,2.62525
2019-03-18,2832.94,1305.350,2.63263
2019-03-19,2832.57,1308.350,2.61275
2019-03-20,2824.23,1303.000,2.60700
2019-03-21,2854.88,1317.300,2.60150
2019-03-22,2800.71,1311.100,2.60988
2019-03-25,2798.36,1319.350,2.60875
2019-03-26,2818.46,1315.250,2.59738
2019-03-27,2805.37,1318.250,2.60100
2019-03-28,2815.44,1306.900,2.59175
2019-03-29,2834.40,1291.150,2.59975
2019-04-01,2867.19,1291.900,2.59550
2019-04-02,2867.24,1287.200,2.60238
2019-04-03,2873.40,1291.850,2.59775
2019-04-04,2879.39,1291.600,2.58863
2019-04-05,2892.74,1288.900,2.59213
2019-04-08,2895.77,1297.100,2.58400
2019-04-09,2878.20,1301.850,2.58125
2019-04-10,2888.21,1304.800,2.60350
2019-04-11,2888.32,1304.650,2.59675
2019-04-12,2907.41,1296.150,2.60100
2019-04-15,2905.58,1286.750,2.58800
2019-04-16,2907.06,1283.750,2.60088
2019-04-17,2900.45,1276.100,2.59150
